epoch,loss
0,8.999807357788086
1,11.735309600830078
2,120.00668334960938
3,16.299020767211914
4,13.057832717895508
5,8.963900566101074
6,9.504546165466309
7,19.155044555664062
8,10.751022338867188
9,11.64015007019043
10,18.927335739135742
11,7.451581001281738
12,10.462149620056152
13,18.032800674438477
14,7.969724178314209
15,14.083963394165039
16,33.50950241088867
17,7.276127815246582
18,13.884393692016602
19,7.328548431396484
20,11.999618530273438
21,9.55901050567627
22,10.347773551940918
23,8.293508529663086
24,167.68907165527344
25,8.08983325958252
26,7.90062952041626
27,9.230046272277832
28,7.86413049697876
29,19.133262634277344
30,8.923593521118164
31,7.158924579620361
32,7.231072902679443
33,7.232953071594238
34,7.210218906402588
35,7.2022318840026855
36,7.209570407867432
37,7.228164196014404
38,7.237178325653076
39,7.213615417480469
40,7.218830108642578
41,7.214804649353027
42,7.204309463500977
43,7.222266674041748
44,7.195616722106934
45,7.215713977813721
46,7.207278251647949
47,7.2212419509887695
48,7.189517021179199
49,7.201409816741943
50,7.258985996246338
51,7.265071392059326
52,7.268661022186279
53,7.270970344543457
54,7.272524833679199
55,7.273573875427246
56,7.274309158325195
57,7.274824142456055
58,7.275210380554199
59,7.2754926681518555
60,7.27570104598999
61,7.275862693786621
62,7.275992393493652
63,7.276094436645508
64,7.276182174682617
65,7.276247978210449
66,7.276303291320801
67,7.276350021362305
68,7.276393890380859
69,7.276428699493408
70,7.391774654388428
71,7.400153160095215
72,7.402864456176758
73,7.403877258300781
74,7.4043450355529785
75,7.404595851898193
76,7.404768943786621
77,7.404906272888184
78,7.405030250549316
79,7.405141830444336
80,7.405247211456299
81,7.4053473472595215
82,7.405442714691162
83,7.405534744262695
84,7.405625820159912
85,7.427440166473389
86,7.431046485900879
87,7.432968616485596
88,7.434201240539551
89,7.435086727142334
90,7.435767650604248
91,7.436314105987549
92,7.436763286590576
93,7.437136650085449
94,7.437448024749756
95,7.437709808349609
96,7.437931060791016
97,7.438121795654297
98,7.438282012939453
99,7.438418388366699
