epoch,loss
0,265.6116027832031
1,43.85920715332031
2,18.898475646972656
3,12.457344055175781
4,10.522699356079102
5,9.977838516235352
6,9.76704216003418
7,9.67367172241211
8,9.629243850708008
9,9.608550071716309
10,9.600111961364746
11,9.598045349121094
12,9.597904205322266
13,9.598122596740723
14,9.59834098815918
15,9.59848403930664
16,9.5985746383667
17,9.598625183105469
18,9.598653793334961
19,9.598670959472656
20,9.598678588867188
21,9.598682403564453
22,9.598687171936035
23,9.598688125610352
24,9.598689079284668
25,9.598691940307617
26,9.598692893981934
27,9.59869384765625
28,9.598692893981934
29,9.59869384765625
30,9.59869384765625
31,9.598695755004883
32,9.598695755004883
33,9.598697662353516
34,9.598697662353516
35,9.598698616027832
36,9.598698616027832
37,9.598700523376465
38,9.598701477050781
39,9.598702430725098
40,9.598702430725098
41,9.598702430725098
42,9.59870433807373
43,9.598705291748047
44,9.59870433807373
45,9.598706245422363
46,9.598708152770996
47,9.598709106445312
48,9.59870719909668
49,9.598709106445312
