epoch,loss
0,45854.484375
1,35251.46875
2,26723.787109375
3,19893.5546875
4,14497.744140625
5,10329.9853515625
6,7208.93896484375
7,4963.587890625
8,3427.05810546875
9,2428.96875
10,1784.8902587890625
11,1319.487060546875
12,927.2669677734375
13,600.0615234375
14,372.57940673828125
15,237.80099487304688
16,165.38404846191406
17,127.15504455566406
18,105.80467224121094
19,93.44051361083984
20,86.43463134765625
21,82.72349548339844
22,81.03064727783203
23,80.45708465576172
24,80.35111236572266
25,80.34468841552734
26,80.34468078613281
27,80.34471130371094
28,80.34474182128906
29,80.3447494506836
30,80.3447494506836
31,80.34475708007812
32,80.34475708007812
33,80.34474182128906
34,80.34474182128906
35,80.34474182128906
36,80.34474182128906
37,80.3447494506836
38,80.34474182128906
39,80.34474182128906
40,80.3447494506836
41,80.34474182128906
42,80.3447494506836
43,80.34474182128906
44,80.34474182128906
45,80.34474182128906
46,80.34474182128906
47,80.34474182128906
48,80.34474182128906
49,80.3447494506836
50,80.34474182128906
51,80.34474182128906
52,80.3447494506836
53,80.3447494506836
54,80.34474182128906
55,80.34474182128906
56,80.3447494506836
57,80.34474182128906
58,80.34474182128906
59,80.34474182128906
60,80.3447494506836
61,80.34475708007812
62,80.3447494506836
63,80.3447494506836
64,80.3447494506836
65,80.34475708007812
66,80.34474182128906
67,80.34475708007812
68,80.3447494506836
69,80.3447494506836
70,80.34474182128906
71,80.34474182128906
72,80.34475708007812
73,80.34474182128906
74,80.34474182128906
75,80.3447494506836
76,80.34474182128906
77,80.34475708007812
78,80.34474182128906
79,80.34475708007812
80,80.34474182128906
81,80.34474182128906
82,80.34474182128906
83,80.3447494506836
84,80.34474182128906
85,80.34474182128906
86,80.3447494506836
87,80.34474182128906
88,80.34475708007812
89,80.3447494506836
90,80.34475708007812
91,80.34474182128906
92,80.3447494506836
93,80.34474182128906
94,80.34475708007812
95,80.34475708007812
96,80.3447494506836
97,80.3447494506836
98,80.34474182128906
99,80.3447494506836
100,80.34474182128906
101,80.3447494506836
102,80.3447494506836
103,80.34475708007812
104,80.34474182128906
105,80.34474182128906
106,80.34474182128906
107,80.3447494506836
108,80.3447494506836
109,80.34474182128906
110,80.3447494506836
111,80.34474182128906
112,80.34474182128906
113,80.3447494506836
114,80.34474182128906
115,80.34474182128906
116,80.3447494506836
117,80.34474182128906
118,80.3447494506836
119,80.34474182128906
120,80.3447494506836
121,80.3447494506836
122,80.34474182128906
123,80.34474182128906
124,80.34474182128906
125,80.34474182128906
126,80.34474182128906
127,80.34474182128906
128,80.34474182128906
129,80.3447494506836
130,80.34474182128906
131,80.34474182128906
132,80.34474182128906
133,80.34474182128906
134,80.34474182128906
135,80.3447494506836
136,80.34474182128906
137,80.3447494506836
138,80.34474182128906
139,80.34474182128906
140,80.34474182128906
141,80.34474182128906
142,80.34474182128906
143,80.34474182128906
144,80.34474182128906
145,80.34474182128906
146,80.34474182128906
147,80.34474182128906
148,80.34474182128906
149,80.34474182128906
150,80.34474182128906
151,80.3447494506836
152,80.34474182128906
153,80.3447494506836
154,80.3447494506836
155,80.34474182128906
156,80.34474182128906
157,80.34474182128906
158,80.34474182128906
159,80.34474182128906
160,80.34474182128906
161,80.34474182128906
162,80.34474182128906
163,80.3447494506836
164,80.34474182128906
165,80.3447494506836
166,80.34474182128906
167,80.34475708007812
168,80.3447494506836
169,80.34474182128906
170,80.3447494506836
171,80.34474182128906
172,80.34474182128906
173,80.34474182128906
174,80.34474182128906
175,80.34475708007812
176,80.34474182128906
177,80.34475708007812
178,80.3447494506836
179,80.3447494506836
180,80.3447494506836
181,80.3447494506836
182,80.34474182128906
183,80.3447494506836
184,80.34474182128906
185,80.34474182128906
186,80.3447494506836
187,80.34474182128906
188,80.34474182128906
189,80.34474182128906
190,80.34474182128906
191,80.3447494506836
192,80.3447494506836
193,80.34474182128906
194,80.34474182128906
195,80.34474182128906
196,80.3447494506836
197,80.3447494506836
198,80.3447494506836
199,80.3447494506836
