col1,col2,col3,col4,col5,col6,col7
0.00024,-0.00132,-0.00187,-0.00074,-0.00102,-0.00143,-0.00054
0.00572,0.01811,0.01348,-0.00435,-0.0079,-0.00173,-0.00024
-0.01748,-0.02518,0.01395,0.05494,0.03562,0.00258,-0.00264
0.01053,-0.0052,-0.0601,-0.07388,-0.0105,0.02841,0.01398
0.00064,0.01533,0.03659,0.01382,-0.03648,-0.03859,-0.00859
0.00059,-0.00139,-0.00162,0.0112,0.02155,0.01015,-0.00265
-0.00067,-0.00055,0.00043,-7e-05,-0.0008,0.00085,0.00104
